Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,971.952875907,97.4147113599,581.117713149,0.0,34.9616554283,113.312780494,437.871432437,423.523230122,5.66466996096,8.68353235331
 01/01  02:00:00,978.967624338,97.4147113599,588.635754311,0.0,34.9616554283,113.312780494,448.442027048,434.094460589,5.66466996096,8.682896498
 01/01  03:00:00,979.258019684,97.4147113599,588.981806039,0.0,34.9616554283,113.312780494,455.82268326,441.473738785,5.66466996096,8.68427451378
 01/01  04:00:00,979.155890792,97.4147113599,588.900513445,0.0,34.9616554283,113.312780494,462.432599844,448.084394127,5.66466996096,8.68353575601
 01/01  05:00:00,988.1498344,97.4147113599,587.54544368,0.0,44.4937663224,113.312780494,455.805650723,441.458136103,5.66466996096,8.68284465854
 01/01  06:00:00,985.313507653,97.4147113599,584.57588041,0.0,44.4937663224,113.312780494,477.775712685,446.266404401,14.1616749024,17.3476333818
 01/01  07:00:00,1060.45291818,97.4147113599,586.787459167,0.0,54.0258772165,176.889270242,427.017107424,390.011000592,28.3233498048,8.68275702693
 01/01  08:00:00,1049.6877156,97.4147113599,584.018966328,0.0,54.0258772165,184.38654557,427.443946181,376.274834622,42.4850247072,8.6840868522
 01/01  09:00:00,1111.45286523,97.4147181487,565.182530859,0.0,65.1572554096,220.04316451,411.481627856,337.432700725,56.6466996096,17.4022275217
 01/01  10:00:00,1089.86669252,97.4366786766,550.127912321,0.0,65.1572554096,212.545889182,375.435821574,315.495802672,42.4850247072,17.4549941946
 01/01  11:00:00,1091.14774275,97.479772351,543.479538021,0.0,65.1572554096,220.04316451,388.961945474,300.640351456,70.808374512,17.513219506
 01/01  12:00:00,1091.88850121,97.4698930103,543.280986261,0.0,65.1572554096,220.04316451,386.259056744,297.940734922,70.808374512,17.5099473102
 01/01  13:00:00,1090.89364654,97.499457517,543.194220088,0.0,65.1572554096,220.04316451,383.302981605,286.235145832,70.808374512,26.2594612609
 01/01  14:00:00,1078.51750296,97.5270559348,538.513465768,0.0,65.1572554096,212.545889182,345.671919143,271.511997174,56.6466996096,17.5132223599
 01/01  15:00:00,1073.54371079,97.5131593509,534.046307264,0.0,65.1572554096,212.545889182,322.533249906,262.538271699,42.4850247072,17.5099534997
 01/01  16:00:00,1069.52460437,97.5135945109,530.429175558,0.0,65.1572554096,212.545889182,336.490091154,253.583917555,56.6466996096,26.2594739898
 01/01  17:00:00,1042.69295686,97.5010484285,529.250065371,0.0,65.1572554096,220.04316451,360.05956455,257.576283387,84.9700494144,17.5132317488
 01/01  18:00:00,1007.03989497,97.4735985607,532.269565873,0.0,54.0258772165,184.38654557,383.161178611,280.732047701,84.9700494144,17.4590814958
 01/01  19:00:00,989.798584935,97.4629088592,537.288353308,0.0,44.4937663224,163.454314868,413.667403585,320.013123723,84.9700494144,8.68423044819
 01/01  20:00:00,994.133156422,97.4553109122,547.875420891,0.0,44.4937663224,155.95703954,395.853648031,330.523461191,56.6466996096,8.68348722959
 01/01  21:00:00,965.179534906,97.4471159443,550.487288207,0.0,44.4937663224,124.558693486,432.637860508,367.308366525,56.6466996096,8.68279437347
 01/01  22:00:00,963.306559434,97.4388915215,548.962558891,0.0,44.4937663224,124.558693486,434.236201037,374.403654524,42.4850247072,17.347521806
 01/01  23:00:00,955.16728896,97.4285348394,551.122908563,0.0,34.9616554283,124.558693486,431.699954511,394.693899952,28.3233498048,8.68270475434
 01/01  24:00:00,968.077827416,97.4167818837,563.809684504,0.0,34.9616554283,124.558693486,431.970149323,409.124445748,14.1616749024,8.68402867282
 01/02  01:00:00,975.229848183,97.4147113599,572.663490988,0.0,46.0930336215,113.312780494,433.790013691,419.44201412,5.66466996096,8.68332960985
 01/02  02:00:00,977.192882844,97.4147113599,574.79934227,0.0,46.0930336215,113.312780494,441.487070079,427.139741522,5.66466996096,8.68265859581
 01/02  03:00:00,982.91241836,97.4147113599,580.898262789,0.0,46.0930336215,113.312780494,459.1887722,436.176850819,5.66466996096,17.3472514207
 01/02  04:00:00,986.151428707,97.4147113599,584.354093726,0.0,46.0930336215,113.312780494,457.775428035,443.428169869,5.66466996096,8.68258820548
 01/02  05:00:00,1076.86480359,97.4147113599,584.649146941,0.0,100.150657288,148.969399434,438.01336968,423.664796544,5.66466996096,8.68390317448
 01/02  06:00:00,1065.85095569,97.6398174062,571.019084129,0.0,100.150657288,149.894399434,828.410811994,805.565938866,14.1616749024,8.68319822525
 01/02  07:00:00,1291.21174676,98.0913033927,566.848813543,0.0,176.471037341,302.612436532,560.33496142,523.327937413,28.3233498048,8.68367420259
 01/02  08:00:00,1394.20895453,99.259489036,560.386455564,0.0,243.2593065,310.10971186,522.931036003,462.979148099,42.4850247072,17.4668631971
 01/02  09:00:00,1432.12890946,99.8872743332,556.30350465,0.0,243.2593065,310.10971186,506.640703105,423.711070254,56.6466996096,26.2829332415
 01/02  10:00:00,1457.55280147,100.6060938,547.200232115,0.0,243.2593065,302.612436532,462.286411291,393.449047944,42.4850247072,26.3523386399
 01/02  11:00:00,1455.80466952,101.465863076,537.359723897,0.0,243.2593065,310.10971186,461.414108634,364.137222899,70.808374512,26.4685112227
 01/02  12:00:00,1453.21606851,102.327440058,533.728665448,0.0,243.2593065,310.10971186,444.371828078,347.061564594,70.808374512,26.5018889718
 01/02  13:00:00,1426.53825331,103.264434124,547.822968099,0.0,243.2593065,310.10971186,433.846597627,336.637885945,70.808374512,26.4003371705
 01/02  14:00:00,1437.28920843,104.495318644,524.077877376,0.0,243.2593065,302.612436532,380.843412169,288.861799406,56.6466996096,35.3349131534
 01/02  15:00:00,1437.09575317,106.076644684,518.663749164,0.0,243.2593065,302.612436532,263.16411308,194.209585036,42.4850247072,26.4695033363
 01/02  16:00:00,1448.28326523,107.510902065,524.41140924,0.0,243.2593065,302.612436532,251.828241365,168.751432721,56.6466996096,26.4301090342
 01/02  17:00:00,1437.47798397,108.06597154,511.573660774,0.0,243.2593065,310.10971186,307.812338218,196.516389413,84.9700494144,26.3258993907
 01/02  18:00:00,1438.50629059,108.440557468,507.884701168,0.0,243.2593065,310.10971186,322.887128866,229.192824016,84.9700494144,8.72425543539
 01/02  19:00:00,1184.50982915,97.4636375083,523.03240321,0.0,166.938926447,199.110933808,363.262335318,260.908622953,84.9700494144,17.3836629509
 01/02  20:00:00,1211.63052448,97.4840616093,555.35151961,0.0,166.938926447,191.61365848,344.308715364,278.962135741,56.6466996096,8.69988001278
 01/02  21:00:00,1084.68821496,97.4658152238,562.542187001,0.0,100.150657288,124.558693486,400.69849576,326.669059462,56.6466996096,17.3827366884
 01/02  22:00:00,1045.67085238,97.4567542383,563.171287234,0.0,100.150657288,124.558693486,388.960312958,337.790277322,42.4850247072,8.68501092811
 01/02  23:00:00,976.371575807,97.4376943696,561.443835297,0.0,46.0930336215,124.558693486,398.303187361,361.295456397,28.3233498048,8.68438115897
 01/02  24:00:00,982.260856848,97.4231259426,566.816218279,0.0,46.0930336215,124.558693486,397.154134058,374.30882415,14.1616749024,8.68363500573
 01/03  01:00:00,973.385665204,97.4148844632,570.572152396,0.0,46.0930336215,113.312780494,399.1893343,384.840536191,5.66466996096,8.68412814806
 01/03  02:00:00,976.332627098,97.4147113599,573.783522356,0.0,46.0930336215,113.312780494,416.544600338,393.532005649,5.66466996096,17.3479247277
 01/03  03:00:00,975.177949183,97.4147113599,572.573600229,0.0,46.0930336215,113.312780494,414.341287774,399.993702464,5.66466996096,8.68291534979
 01/03  04:00:00,970.599285482,97.4147113599,567.6852423,0.0,46.0930336215,113.312780494,419.385856659,405.036923264,5.66466996096,8.68426343346
 01/03  05:00:00,1062.27057784,97.4147113599,565.589965072,0.0,100.150657288,148.969399434,403.9339594,389.585755972,5.66466996096,8.68353346679
